Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C16, C23, C25, C27, C28, C29, C30",0603,8,22u,
"C11, C14, C15, C20, C24, C5, C6, C7, C9",0402,9,0.1u,
"C12, C17, C18, C19, C4, C8",0402,6,1u,
C13,0603,1,10u,
"C2, C3",0402,2,~,
D10,0402,1,POWER,
D2,SOD-963   CST2C_TOS,1,"CCS15S40,L3F",
"D4, D5, D6, D7",0402,4,LED,
IC1,QFN40P300X300X95-25N-D,1,MPU-6500,
IC2,DRV8835DSSR,1,DRV8835DSSR,
IC3,QFN50P300X300X80-17N-D,1,ADS7066IRTER,
IC4,SON50P300X300X100-9N-D,1,"PCA9632TK,118",
J1,ZX62R-B-5P_30_,1,~,
J2,Pad_1,1,Fan+,
J3,Pad_1,1,Fan-,
"J4, J5",CONN_B2B-ZRLFSN_JST,2,Battery,
"M1, M2",MK06-4.5,2,MK06-4.5,
Q1,Vishay_PowerPAK_SC70-6L_Dual,1,SiA910,
"Q5, Q6, Q7, Q8",Vishay_PowerPAK_SC70-6L_Dual,4,SiA519,
Q9,TSOP6F_SSM6J_TOS,1,SSM6J808R_LXHF,
"R1, R2",0402,2,0,
"R10, R13, R15, R29, R5, R6, R7",0402,7,47k,
"R11, R12, R19, R8, R9",0402,5,2.4k,
"R14, R16, R3, R4",0402,4,10k,
R17,0402,1,1.3k,
R18,0402,1,1k,
R20,0402,1,620,
"R21, R23, R25, R27",0402,4,22,
"R22, R24, R26, R28",0402,4,１ｋ,
SW1,SSSS810701,1,SSSS810701,
"U1, U2",QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,2,MA730,
U12,XCVR_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1-N8,
U4,SMT-0440-S-R_PUI,1,SMT-0440-S-R,
U5,LED_WS2812-2020,1,WS2812-2020,
U7,CONV_LXDC55FAAA-203,1,LXDC55FAAA-203,
